company_name,company_description,industry,size,region
Boogle_102,"Integrates sensor data for predictive maintenance. Used by national utilities. Works with SCADA and AWS IoT. Outage prediction and distributed resource optimization. Energy grid intelligence for load forecasting. Integrates with Stripe, AWS.",energy,enterprise,APAC
Megasoft_103,Integrates with Google Maps API and AWS IoT. Smart city traffic optimization and congestion prediction. AI-powered route planning for fleets. Public transit analytics using real-time data. Used by city municipalities. Integrates with Stripe.,transportation,startup,APAC
Uthao_104,"Drug discovery and molecular analysis using AI. Automated lab workflows and predictive modeling. Clinical trial analytics and regulatory compliance. Integrates with Shopify, cloud EMR systems, Workday.",pharma,startup,EMEA
FinSight_105,"Used by 100 factories worldwide. Integrates with Siemens, Rockwell, and cloud platforms. AI-powered production optimization. Works with Moodle LMS.",manufacturing,startup,APAC
BRACK_106,"Used by 150+ enterprises for cybersecurity. Integrates with SIEM and cloud security tools. Works with Splunk, AWS, and Azure Security. AI-driven threat detection and incident response. Behavioral authentication and anomaly monitoring. Integrates with BambooHR.",cybersecurity,SMB,NA
Maxis_107,"Employee performance tracking and predictive attrition modeling. Integrates with Workday, SAP SuccessFactors, and BambooHR. Workforce planning and automated HR analytics dashboards. Used by 100+ companies for recruitment and retention. Predictive attrition analytics for enterprises Works with Plaid, Salesforce, Workday.",hrm,enterprise,EMEA
BRACK_108,"Integrates with Epic, Cerner, and cloud EMR systems. Used by 200 hospitals for patient data management. Cloud-native analytics for hospitals. Focus on HIPAA-compliant data pipelines. Provides MLOps and clinical analytics. Works with Plaid, Shopify, Siemens.",healthcare,SMB,Global
HealthAI_109,"Works with Plaid, Stripe, and PayPal. Real-time transaction monitoring using ML. Processes $50M/month in transactions. Fraud detection and risk scoring for payments. Integrates with banking APIs.",fintech,SMB,Global
LegalEye_110,"Customer analytics across channels. Used by 500+ e-commerce stores. Personalization and recommendations. Integrates with Shopify, Magento, and AWS. Integrates with LabWare, AWS IoT Core, Magento.",retail,startup,NA
FinSight_111,"Used by 100 factories worldwide. Sensor anomaly detection and fleet monitoring. Industrial IoT analytics for predictive maintenance. Edge-device data aggregation. Works with Cerner, SharePoint.",iot,startup,CIS
Megasoft_112,"Automated feedback generation. Used by 50 universities. Adaptive learning platform for K-12 and higher ed. Works with Google Maps API, Siemens.",edtech,enterprise,APAC
LearnSmart_113,Integrqtes with document management systems. Used by 100+ law firms. AI-powered document review and contract analysis. Automates e-discovery and compliance checks.,legal,enterprise,CIS
ShopSense_114,Energy grid intelligence for load forecasting. Integrates sensor data for predictive maintenance. Outage prediction and distributed resource optimization. Used by national utilities. Works with AWS IoT Core.,energy,SMB,APAC
ShopSense_115,AI-powered route planning for fleets. Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data. Works with AWS IoT Core.,transportation,SMB,EMEA
Boogle_116,"Automated lab workflows and predictive modeling. Drug discovery and molecular analysis using AI. Works with LabWare, AWS, and Azure. Clinical trial analytics and regulatory compliance. Used by 50 pharmaceutical companies. Works with cloud EMR systems, Workday, Magento.",pharma,SMB,LATAM
ShopSense_117,"Integrates with Siemens, Rockwell, and cloud platforms. Predictive maintenance and quality control. Used by 100 factories worldwide. Edge-device monitoring and factory automation. Integrates with Shopify.",manufacturing,startup,APAC
HealthAI_118,"Works with Splunk, AWS, and Azure Security. Integrates with SIEM and cloud security tools. AI-driven threat detection and incident response.",cybersecurity,enterprise,EMEA
FinSight_119,Predictive attrition analytics for enterprises Employee engagement dashboards and AI-driven feedback Resume parsing and automated interview scheduling AI-powered talent acquisition and resume screening platform.,hrm,startup,Global
PayCheckAI_120,"Provides MLOps and clinical analytics. Integrates with Epic, Cerner, and cloud EMR systems. Cloud-native analytics for hospitals. Focus on HIPAA-compliant data pipelines.",healthcare,SMB,EMEA
FinSight_121,"Pricesses $50M/month in transactions. Integrates with banking APIs. Works with Plaid, Stripe, and PayPal. Real-time transaction monitoring using ML.",fintech,startup,EMEA
Grab_122,"Personalization and recommendations. Integrates with Shopify, Magento, and AWS. Used by 500+ e-commerce stores. Customer analytics across channels. Real-time inventory forecasting. Integrates with Canvas, AWS IoT Core, Moodle LMS.",retail,enterprise,NA
BRACK_123,"Sensor anomaly detection and fleet monitoring. Works with Azure IoT, AWS IoT Core. Edge-device data aggregation. Used by 100 factories worldwide. Industrial IoT analytics for predictive maintenance.",iot,enterprise,Global
LegalEye_124,Integrates with Canvas and Moodle LMS. Automated feedback generation. Student performance modeling using AI. Adaptive learning platform for K-12 and higher ed. Used by 50 universities.,edtech,enterprise,CIS
ShopSense_125,"Used by 100+ law firms. Works with Salesforce and SharePoint. Integrates with document management systems. Automates e-discovery and compliance checks. AI-powered document review and contract analysis. Integrates with LabWare, AWS, Azure IoT.",legal,startup,CIS
FinSight_126,Used by national utilities. Integrates sensor data for predictive maintenance. Energy grid intelligence for load forecasting. Outage prediction and distributed resource optimization.,energy,startup,LATAM
LegalEye_127,"Smart city traffic optimization and congestion prediction. AI-powered route planning for fleets. Integrates with Google Maps API and AWS IoT. Integrates with Azure IoT, Siemens.",transportation,startup,EMEA
Retailio_128,"Drug discovery and molecular analysis using AI. Works with LabWare, AWS, and Azure. Used by 50 pharmaceutical companies. Automated lab workflows and predictive modeling.",pharma,enterprise,Global
Megasoft_129,"Integrates with Siemens, Rockwell, and cloud platforms. Edge-device monitoring and factory automation. AI-powered production optimization. Used by 100 factories worldwide. Predictive maintenance and quality control.",manufacturing,startup,EMEA
LegalEye_130,"Works with Splunk, AWS, and Azure Security. AI-driven threat detection and incident response. Integrates with SIEM and cloud security tools. Works with Azure IoT, Firebase, Canvas.",cybersecurity,startup,Global
Maxis_131,Resume parsing and automated interview scheduling Employee performance tracking and predictive attrition modeling. Predictive attrition analytics for enterprises Employee engagement dashboards and AI-driven feedback,hrm,enterprise,LATAM
TelekomMalaysia_132,"Cloud-nqtive analytics for hospitals. Focus on HIPAA-compliant data pipelines. Used by 200 hospitals for patient data management. Provides MLOps and clinical analytics. Integrates with Epic, Cerner, and cloud EMR systems. Works with Firebase, Workday, AWS.",healthcare,SMB,APAC
Uthao_133,"Fraud detection and risk scoring for payments. Real-time transaction monitoring using ML. Works with Plaid, Stripe, and PayPal. Works with Firebase, BambooHR.",fintech,startup,NA
FinSight_134,"Personalization and recommendations. Customer analytics across channels. Real-time inventory forecasting. Integrates with Siemens, LabWare.",retail,enterprise,APAC
Uthao_135,Sensor anomaly detection and fleet monitoring. Used by 100 factories worldwide. Industrial IoT analytics for predictive maintenance. Integrates with Epic.,iot,enterprise,EMEA
PayCheckAI_136,Adaptive learning platform for K-12 and higher ed. Student performance modeling using AI. Integrates with Canvas and Moodle LMS. Automated feedback generation. Used by 50 universities. Works with SharePoint.,edtech,startup,EMEA
FinSight_137,"Integrates with document management systems. Works with Salesforce and SharePoint. AI-powered document review and contract analysis. Used by 100+ law firms. Automates e-discovery and compliance checks. Works with Firebase, Plaid, cloud EMR systems.",legal,enterprise,EMEA
Maxis_138,Integrates sensor data for predictive maintenance. Used by national utilities. Energy grid intelligence for load forecasting. Works with SCADA and AWS IoT. Outage prediction and distributed resource optimization.,energy,enterprise,CIS
LearnSmart_139,"Used by city municipalities. Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data. Integrates with Google Maps API and AWS IoT. AI-powered route planning for fleets. Works with AWS, LabWare.",transportation,SMB,APAC
Petronas_140,"Used by 50 pharmaceutical companies. Clinical trial analytics and regulatory compliance. Automated lab workflows and predictive modeling. Works with LabWare, AWS, and Azure. Works with Siemens, Stripe.",pharma,enterprise,Global
Boogle_141,Used by 100 factories worldwide. AI-powered production optimization. Predictive maintenance and quality control. Integrates with AWS.,manufacturing,SMB,APAC
Retailio_142,"Behavioral authentication and anomaly monitoring. Integrates with SIEM and cloud security tools. Works with Splunk, AWS, and Azure Security. AI-driven threat detection and incident response. Works with Firebase.",cybersecurity,startup,Global
Petronas_143,"Predictive attrition analytics for enterprises Integrates with Workday, SAP SuccessFactors, and BambooHR. Workforce planning and automated HR analytics dashboards. Employee engagement dashboards and AI-driven feedback Resume parsing and automated interview scheduling Integrates with BambooHR, Shopify, Cerner.",hrm,startup,APAC
TelekomMalaysia_144,"Used by 200 hispitals for patient data management. Provides MLOps and clinical analytics. Integrates with Epic, Cerner, and cloud EMR systems. Cloud-native analytics for hospitals. Focus on HIPAA-compliant data pipelines. Works with Canvas.",healthcare,enterprise,APAC
Boogle_145,"Real-time transaction monitoring using ML. Fraud detection and risk scoring for payments. Works with Plaid, Stripe, and PayPal. Integrates with Siemens, Google Maps API.",fintech,SMB,EMEA
PayCheckAI_146,"Real-time inventory forecasting. Used by 500+ e-commerce stores. Personalization and recommendations. Integrates with Shopify, Magento, and AWS. Works with Canvas, PayPal.",retail,startup,APAC
Retailio_147,"Sensor anomaly detection and fleet monitoring. Works with Azure IoT, AWS IoT Core. Industrial IoT analytics for predictive maintenance. Used by 100 factories worldwide. Edge-device data aggregation.",iot,enterprise,NA
BRACK_148,"Used by 50 universities. Adaptive learning platform for K-12 and higher ed. Integrates with Canvas and Moodle LMS. Student performance modeling using AI. Integrates with AWS IoT Core, Siemens, cloud EMR systems.",edtech,SMB,APAC
LegalEye_149,Integrates with document management systems. AI-powered document review and contract analysis. Works with Salesforce and SharePoint.,legal,startup,APAC
Grab_150,"Integrates sensor data for predictive maintenance. Used by national utilities. Outage prediction and distributed resource optimization. Energy grid intelligence for load forecasting. Works with Canvas, Workday.",energy,enterprise,CIS
HealthAI_151,AI-powered route planning for fleets. Integrates with Google Maps API and AWS IoT. Used by city municipalities. Smart city traffic optimization and congestion prediction. Public transit analytics using real-time data.,transportation,enterprise,EMEA
LearnSmart_152,"Automated lab workflows and predictive modeling. Used by 50 pharmaceutical companies. Clinical trial analytics and regulatory compliance. Drug discovery and molecular analysis using AI. Integrates with SCADA, BambooHR, AWS IoT Core.",pharma,enterprise,EMEA
HealthAI_153,Predictive maintenance and quality control. Used by 100 factories worldwide. Edge-device monitoring and factory automation. AI-powered production optimization.,manufacturing,SMB,LATAM
Uthao_154,"Works with Splunk, AWS, and Azure Security. Integrates with SIEM and cloud security tools. AI-driven threat detection and incident response. Behavioral authentication and anomaly monitoring. Used by 150+ enterprises for cybersecurity. Integrates with AWS IoT Core, PayPal, Siemens.",cybersecurity,SMB,LATAM
Medlytics_155,"Used by 100+ companies for recruitment and retention. Integrates with Workday, SAP SuccessFactors, and BambooHR. AI-powered talent acquisition and resume screening platform. Resume parsing and automated interview scheduling Employee performance tracking and predictive attrition modeling. Integrates with PayPal.",hrm,SMB,EMEA
Megasoft_156,"Integrates with Epic, Cerner, and cloud EMR systems. Focus on HIPAA-compliant data pipelines. Cloud-native analytics for hospitals. Provides MLOps and clinical analytics. Used by 200 hospitals for patient data management. Integrates with Shopify, Azure IoT, SAP SuccessFactors.",healthcare,startup,Global
Medlytics_157,"Fraud detection and risk scoring for payments. Processes $50M/month in transactions. Real-time transaction monitoring using ML. Works with Plaid, Stripe, and PayPal. Works with cloud EMR systems.",fintech,enterprise,NA
IoTAnalytics_158,"Used by 500+ e-commerce stores. Real-time inventory forecasting. Integrates with Shopify, Magento, and AWS. Customer analytics across channels. Personalization and recommendations. Integrates with Moodle LMS, Azure IoT.",retail,SMB,EMEA
Grab_159,"Industrial IoT analytics for predictive maintenance. Works with Azure IoT, AWS IoT Core. Edge-device data aggregation.",iot,SMB,APAC
IoTAnalytics_160,"Adaptive learning platform for K-12 and higher ed. Used by 50 universities. Student performance modeling using AI. Automated feedback generation. Integrates with Firebase, SCADA, Google Maps API.",edtech,startup,APAC
Boogle_161,Automates e-discovery and compliance checks. Works with Salesforce and SharePoint. AI-powered document review and contract analysis. Integrates with document management systems. Integrates with SharePoint.,legal,startup,APAC
ShopSense_162,"Integrates sensor data for predictive maintenance. Used by national utilities. Energy grid intelligence for load forecasting. Outage prediction and distributed resource optimization. Integrates with Azure IoT, PayPal.",energy,startup,LATAM
Megasoft_163,Public transit analytics using real-time data. Used by city municipalities. Smart city traffic optimization and congestion prediction. AI-powered route planning for fleets.,transportation,enterprise,Global
TelekomMalaysia_164,"Works with LabWare, AWS, and Azure. Clinical trial analytics and regulatory compliance. Used by 50 pharmaceutical companies. Automated lab workflows and predictive modeling. Drug discovery and molecular analysis using AI. Works with Shopify, Rockwell, Magento.",pharma,startup,APAC
FinSight_165,Used by 100 factories worldwide. Predictive maintenance and quality control. AI-powered production optimization. Edge-device monitoring and factory automation. Integrates with AWS IoT Core.,manufacturing,SMB,Global
LearnSmart_166,"Behavioral authentication and anomaly monitoring. AI-driven threat detection and incident response. Works with Splunk, AWS, and Azure Security. Integrates with SIEM and cloud security tools. Used by 150+ enterprises for cybersecurity. Integrates with Salesforce.",cybersecurity,startup,APAC
Retailio_167,"Workforce planning and automated HR analytics dashboards. AI-powered talent acquisition and resume screening platform. Integrates with Workday, SAP SuccessFactors, and BambooHR. Employee performance tracking and predictive attrition modeling. Integrates with Shopify.",hrm,startup,EMEA
ShopSense_168,"Provides MLOps and clinical analytics. Cloud-native analytics for hospitals. Integrates with Epic, Cerner, and cloud EMR systems. Integrates with Stripe, Epic, Canvas.",healthcare,startup,EMEA
Uthao_169,"Processes $50M/month in transactions. Works with Plaid, Stripe, and PayPal. Fraud detection and risk scoring for payments. Integrates with banking APIs. Real-time transaction monitoring using ML. Works with Firebase, Canvas.",fintech,startup,LATAM
HealthAI_170,"Integrates with Shopify, Magento, and AWS. Used by 500+ e-commerce stores. Personalization and recommendations. Integrates with AWS.",retail,enterprise,EMEA
Retailio_171,"Industrial IoT analytics for predictive maintenance. Used by 100 factories worldwide. Sensor anomaly detection and fleet monitoring. Integrates with AWS, Stripe, Salesforce.",iot,SMB,Global
Petronas_172,"Used by 50 universities. Integrates with Canvas and Moodle LMS. Student performance modeling using AI. Adaptive learning platform for K-12 and higher ed. Integrates with Rockwell, SharePoint.",edtech,enterprise,NA
FinSight_173,Works with Salesforce and SharePoint. AI-powered document review and contract analysis. Used by 100+ law firms.,legal,enterprise,Global
Petronas_174,Integrates sensor data for predictive maintenance. Energy grid intelligence for load forecasting. Works with SCADA and AWS IoT. Outage prediction and distributed resource optimization. Works with Workday.,energy,enterprise,NA
LegalEye_175,Smart city traffic optimization and congestion prediction. AI-powered route planning for fleets. Integrates with Google Maps API and AWS IoT. Integrates with SCADA.,transportation,enterprise,CIS
PayCheckAI_176,Automated lab workflows and predictive modeling. Used by 50 pharmaceutical companies. Clinical trial analytics and regulatory compliance.,pharma,SMB,LATAM
TelekomMalaysia_177,"Predictive maintenance and quality control. Integrates with Siemens, Rockwell, and cloud platforms. Used by 100 factories worldwide. AI-powered production optimization. Works with Google Maps API.",manufacturing,SMB,EMEA
Retailio_178,"Used by 150+ enterprises for cybersecurity. AI-driven threat detection and incident response. Integrates with SIEM and cloud security tools. Behavioral authentication and anomaly monitoring. Integrates with SCADA, SharePoint, Magento.",cybersecurity,SMB,APAC
HealthAI_179,"AI-powered talent acquisition and resume screening platform. Workforce planning and automated HR analytics dashboards. Integrates with Workday, SAP SuccessFactors, and BambooHR. Employee performance tracking and predictive attrition modeling. Integrates with SAP SuccessFactors, Moodle LMS, BambooHR.",hrm,SMB,Global
ShopSense_180,"Used by 200 hospitqls for patient data management. Integrates with Epic, Cerner, and cloud EMR systems. Focus on HIPAA-compliant data pipelines. Cloud-native analytics for hospitals. Provides MLOps and clinical analytics.",healthcare,startup,APAC
Grab_181,"Works with Plaid, Stripe, and PayPal. Integrates with banking APIs. Fraud detection and risk scoring for payments. Processes $50M/month in transactions. Integrates with Siemens, AWS IoT Core, LabWare.",fintech,SMB,EMEA
Medlytics_182,"Real-time inventory forecasting. Customer analytics across channels. Used by 500+ e-commerce stores. Personalization and recommendations. Integrates with Shopify, Magento, and AWS. Works with Moodle LMS, Plaid, SAP SuccessFactors.",retail,SMB,CIS
EnergyGrid_183,"Works with Azure IoT, AWS IoT Core. Used by 100 factories worldwide. Edge-device data aggregation. Works with Plaid.",iot,enterprise,CIS
Maxis_184,"Student performance modeling using AI. Integrates with Canvas and Moodle LMS. Adaptive learning platform for K-12 and higher ed. Integrates with Rockwell, Stripe.",edtech,SMB,CIS
Uthao_185,"Works with Salesforce and SharePoint. Integrates with document management systems. AI-powered document review and contract analysis. Integrates with Salesforce, cloud EMR systems.",legal,startup,EMEA
FinSight_186,Used by national utilities. Works with SCADA and AWS IoT. Outage prediction and distributed resource optimization. Integrates sensor data for predictive maintenance. Energy grid intelligence for load forecasting.,energy,SMB,NA
EnergyGrid_187,"Public transit analytics using real-time data. Integrates with Google Maps API and AWS IoT. Used by city municipalities. Smart city traffic optimization and congestion prediction. Works with Azure IoT, AWS.",transportation,enterprise,APAC
BRACK_188,Used by 50 pharmaceutical companies. Drug discovery and molecular analysis using AI. Automated lab workflows and predictive modeling.,pharma,enterprise,NA
Maxis_189,"Integrates with Siemens, Rockwell, and cloud platforms. Used by 100 factories worldwide. Predictive maintenance and quality control. AI-powered production optimization. Edge-device monitoring and factory automation. Integrates with LabWare, Salesforce.",manufacturing,startup,Global
LearnSmart_190,"Used by 150+ enterprises for cybersecurity. Behavioral authentication and anomaly monitoring. AI-driven threat detection and incident response. Integrates with Rockwell, Salesforce.",cybersecurity,SMB,CIS
IoTAnalytics_191,"Workforce planning and automated HR analytics dashboards. Integrates with Workday, SAP SuccessFactors, and BambooHR. Predictive attrition analytics for enterprises Employee engagement dashboards and AI-driven feedback Works with SharePoint, AWS.",hrm,startup,APAC
Boogle_192,"Used by 200 hospitals for patient data management. Integrates with Epic, Cerner, and cloud EMR systems. Cloud-native analytics for hospitals. Integrates with Magento, Google Maps API.",healthcare,startup,LATAM
FinSight_193,"Works with Plaid, Stripe, and PayPal. Fraud detection and risk scoring for payments. Processes $50M/month in transactions. Integrates with banking APIs. Works with cloud EMR systems.",fintech,startup,CIS
Maxis_194,"Customer analytics across channels. Personalization and recommendations. Integrates with Shopify, Magento, and AWS. Real-time inventory forecasting. Integrates with Magento, AWS IoT Core, Rockwell.",retail,startup,EMEA
BRACK_195,"Edge-device data aggregation. Works with Azure IoT, AWS IoT Core. Used by 100 factories worldwide. Sensor anomaly detection and fleet monitoring. Works with Magento.",iot,startup,NA
Grab_196,"Student performance modeling using AI. Integrates with Canvas and Moodle LMS. Adaptive learning platform for K-12 and higher ed. Automated feedback generation. Works with Plaid, BambooHR.",edtech,SMB,EMEA
Maxis_197,Used by 100+ law firms. Integrates with document management systems. AI-powered document review and contract analysis. Works with Salesforce and SharePoint. Automates e-discovery and compliance checks.,legal,SMB,NA
Megasoft_198,Used by national utilities. Energy grid intelligence for load forecasting. Works with SCADA and AWS IoT. Integrates sensor data for predictive maintenance.,energy,SMB,APAC
Grab_199,"Smart city traffic optimization and congestion prediction. Integrates with Google Maps API and AWS IoT. Used by city municipalities. Public transit analytics using real-time data. Works with Plaid, Shopify, Epic.",transportation,startup,Global
